iter	RMSE
0	3737.872836
1	3507.801282
2	3293.209868
3	3097.903595
4	2917.182847
5	2754.659729
6	2597.698137
7	2454.747361
8	2319.855353
9	2193.839732
10	2078.772213
11	1974.307883
12	1879.21089
13	1788.165419
14	1705.734809
15	1628.563765
16	1556.727139
17	1490.897195
18	1432.905497
19	1378.229499
20	1326.808607
21	1278.547872
22	1236.927464
23	1197.397979
24	1163.835405
25	1129.366868
26	1095.0961
27	1064.213615
28	1036.914135
29	1012.383532
30	987.2900128
31	965.6710968
32	944.2470785
33	923.9388363
34	907.778727
35	892.257055
36	877.5450838
37	862.7589992
38	847.5096417
39	834.1541582
40	822.0205877
41	812.6879263
42	803.726678
43	795.007141
44	787.511633
45	779.2403192
46	771.9952496
47	765.9243604
48	757.7806852
49	752.2443095
50	744.8076232
51	739.3645657
52	732.9075732
53	727.8904362
54	722.4919511
55	717.5643921
56	712.1329706
57	706.7817663
58	702.924451
59	700.4081778
60	695.1102864
61	691.2810676
62	686.3930735
63	682.7861196
64	678.6608421
65	674.6708522
66	671.0690604
67	668.5433172
68	665.3555947
69	662.2838926
70	659.2351081
71	656.0736771
72	654.5287403
73	652.4904195
74	650.4089049
75	648.5267269
76	646.8556615
77	645.2030568
78	643.0938817
79	641.0672407
80	639.3506527
81	637.2076751
82	635.4111085
83	633.2376431
84	632.1394248
85	629.3451244
86	627.2929803
87	625.4375912
88	623.9258734
89	622.0961286
90	619.7654327
91	618.2988629
92	616.4485793
93	615.409868
94	614.5748612
95	612.6275526
96	611.0142066
97	609.7939095
98	608.7747762
99	607.9466812
100	607.0501741
101	606.2909812
102	605.0694816
103	603.1495448
104	601.2105132
105	599.7849805
106	598.7499713
107	597.8876843
108	596.2246632
109	594.5534422
110	593.6853633
111	592.3338425
112	591.2667401
113	590.4677414
114	589.9980598
115	588.1443808
116	587.2206854
117	585.7091769
118	585.0795059
119	583.8493988
120	583.2454122
121	582.4651227
122	581.780837
123	580.835936
124	580.0222464
125	579.2962606
126	578.7874301
127	578.222541
128	577.8335626
129	576.9963869
130	575.8797591
131	574.7140608
132	573.7522661
133	572.9135034
134	572.2783477
135	571.0001072
136	569.905845
137	569.5509651
138	568.7973848
139	568.3388239
140	567.6947513
141	567.4045007
142	567.0260398
143	566.4216387
144	565.866932
145	565.1051138
146	564.4492031
147	563.8299935
148	563.2518211
149	562.8278105
150	562.2628134
151	561.8618697
152	560.7936951
153	560.5302488
154	560.0938034
155	559.6181531
156	558.8902958
157	558.4641898
158	557.611375
159	557.0014264
160	556.4230223
161	555.9369556
162	555.5482028
163	554.3757328
164	553.8492618
165	553.3867524
166	552.7535539
167	552.0484588
168	551.4299842
169	551.2527751
170	550.8509416
171	550.4689671
172	550.1738481
173	549.749481
174	549.1898448
175	548.664617
176	547.6824899
177	547.3398607
178	546.5856323
179	546.1233885
180	545.6420983
181	545.2504397
182	544.8414141
183	544.516885
184	543.9636958
185	543.3590633
186	542.7470719
187	542.3190582
188	541.9507328
189	541.5347668
190	541.1225756
191	540.6425964
192	540.3372484
193	539.913543
194	539.4731315
195	539.1257718
196	538.6978095
197	538.4855307
198	537.7016376
199	536.9455754
200	536.6775491
201	536.2277749
202	536.050261
203	535.6341631
204	534.971659
205	534.6607061
206	534.3187988
207	534.1460562
208	533.5931897
209	533.248057
210	532.9624076
211	532.652052
212	532.3974327
213	532.1588007
214	531.8574255
215	531.5271835
216	531.2698439
217	531.0004635
218	530.850846
219	530.5919249
220	530.3168491
221	530.1198119
222	529.923245
223	529.453833
224	529.156762
225	529.0524261
226	528.7171772
227	528.2991183
228	527.8739615
229	527.4050444
230	527.004624
231	526.6203057
232	526.2202589
233	526.0277253
234	525.8922713
235	525.7324448
236	525.5249931
237	525.15508
238	524.6958802
239	524.3677711
240	524.0461662
241	523.6983603
242	523.5515063
243	523.3726612
244	523.0639253
245	522.6651355
246	522.2257669
247	521.9357629
248	521.784164
249	521.6275861
