iter	Passed	Remaining
0	62	62319
1	64	32206
2	66	22148
3	68	17152
4	70	14073
5	73	12136
6	75	10660
7	77	9660
8	80	8831
9	82	8205
10	85	7685
11	88	7255
12	90	6894
13	93	6596
14	96	6304
15	98	6053
16	101	5843
17	103	5666
18	106	5496
19	108	5338
20	111	5201
21	114	5076
22	116	4946
23	119	4852
24	121	4750
25	124	4652
26	126	4559
27	129	4478
28	131	4396
29	134	4334
30	136	4276
31	139	4225
32	142	4173
33	144	4112
34	147	4070
35	150	4017
36	152	3973
37	155	3932
38	157	3889
39	160	3853
40	163	3815
41	165	3778
42	167	3736
43	170	3695
44	172	3662
45	174	3626
46	177	3590
47	179	3558
48	181	3527
49	184	3500
50	186	3465
51	188	3443
52	191	3417
53	193	3389
54	195	3366
55	198	3344
56	200	3323
57	203	3299
58	205	3275
59	208	3261
60	210	3238
61	212	3218
62	215	3198
63	217	3177
64	219	3158
65	221	3137
66	224	3120
67	226	3099
68	228	3085
69	230	3068
70	233	3054
71	235	3038
72	238	3022
73	240	3012
74	242	2996
75	245	2984
76	247	2968
77	250	2955
78	251	2937
79	254	2929
80	257	2917
81	259	2905
82	261	2893
83	264	2882
84	266	2867
85	268	2853
86	270	2842
87	273	2832
88	275	2819
89	277	2810
90	280	2798
91	282	2788
92	284	2776
93	286	2764
94	289	2755
95	291	2744
96	293	2734
97	295	2721
98	298	2713
99	300	2705
100	302	2694
101	305	2685
102	307	2676
103	309	2668
104	312	2661
105	314	2652
106	317	2645
107	319	2639
108	321	2629
109	323	2620
110	326	2613
111	328	2604
112	330	2596
113	332	2587
114	335	2579
115	337	2573
116	339	2565
117	341	2555
118	344	2548
119	346	2540
120	348	2535
121	351	2528
122	353	2520
123	356	2515
124	358	2507
125	360	2501
126	363	2495
127	365	2486
128	367	2480
129	369	2473
130	371	2467
131	374	2460
132	376	2453
133	378	2448
134	380	2440
135	383	2433
136	385	2425
137	387	2418
138	390	2417
139	392	2412
140	394	2404
141	396	2398
142	399	2393
143	401	2388
144	404	2383
145	406	2378
146	409	2374
147	411	2370
148	414	2366
149	416	2361
150	418	2355
151	421	2351
152	424	2347
153	426	2341
154	428	2336
155	431	2332
156	433	2326
157	435	2321
158	437	2316
159	440	2311
160	442	2306
161	445	2302
162	447	2297
163	449	2292
164	452	2287
